办事地点	本市户口身份证过期补办地址
查询余额	我想查我个人养老金金额多少？
闲聊	你喜欢啥
查询天气	What's the weather like today 
其它	未成年人身份证办理
其它	公积金转移
查询天气	下周天气如何
查询明细	公积金账单查询
查询天气	Today weather
办事地点	申领身份证的地址
闲聊	一切正常！
闲聊	您好，有人么
闲聊	我想
查询天气	南汇区明天热吗？
办事时效	取消产证挂失要多久？
闲聊	你爱啥
闲聊	人在吗
办事时效	补办身份证需要多久办理
办事地点	查询一下田林新村派出所地址
办事地点	请问办理临时身份证在哪？
闲聊	是知道了谢谢
查询天气	周六天气如何
查询余额	公积金余额查询
办事地点	派出所在什么路
办事材料	补办身份证需要什么资料嘛
其它	补交养老金
办事材料	异地身份证换领要纸质资料吗
查询余额	如何查询养老金
其它	未成年人身份证办理
查询明细	养老金账单查不到
闲聊	你好有人不
闲聊	心情不错
查询余额	查询农业银行卡上的余额
查询余额	查询社保公积金
查询天气	请问,奉贤区周三的天气怎么样
其它	到上海蓝海国际广场乘什么車？
闲聊	好，谢谢
查询天气	请问,崇明县周一的天气查询
其它	2019社工笔试成绩查询
闲聊	你好有人在吗
办事材料	办理食品流通许可证需要准备哪些材料
办事时效	社会保障卡多久能收到
办事时间	你好我想问一下外省市户籍人员在上海办理身份证可以周末去办吗
闲聊	网上上报在哪里填写
查询余额	怎么查询养老金余额
查询明细	我的公积金帐单
办事材料	办理身份证要带的材料
闲聊	可以帮我导航吗？
查询余额	医保金查询不到余额
